2017/03/18 19:00:20 [error] 857#0: *16163 kevent() reported that connect() failed (60: Operation timed out) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16182 kevent() reported that connect() failed (60: Operation timed out) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16187 kevent() reported that connect() failed (60: Operation timed out) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16185 kevent() reported that connect() failed (60: Operation timed out) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16157 kevent() reported that connect() failed (60: Operation timed out) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16179 kevent() reported that connect() failed (60: Operation timed out) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16177 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16191 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16168 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16163 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16182 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16187 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16185 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16157 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16179 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16161 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16161 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://gunicorn/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16168 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16182 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16185 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16179 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:53 [error] 857#0: *26078 kevent() reported that connect() failed (60: Operation timed out) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:00:53 [error] 857#0: *26078 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:53 [error] 857#0: *26078 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://gunicorn/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *504 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *505 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *505 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://gunicorn/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *506 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *507 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *507 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://gunicorn/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *508 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *504 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *506 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *505 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://gunicorn/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *508 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *507 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *507 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://gunicorn/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *504 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *506 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *505 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *508 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *504 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *506 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *505 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *507 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *507 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://gunicorn/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *508 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *504 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *504 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://gunicorn/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *506 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:26:48 [error] 1206#0: *505 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
